"Google Mobile Украина, язык интерфейса: українська"
"Ключевое слово",URL,Частотность,Динамика,2025-09-16,2025-09-23,2025-09-25,2025-09-30,2025-10-07,2025-10-14,2025-10-21,2025-10-28,2025-11-03,2025-11-04,2025-11-05,2025-11-11,2025-11-28,2026-01-06,2026-01-20,2026-02-13,2026-03-03
"антиперспірант для жінок ціна",https://avrora.ua/dezodoranti-ta-antiperspiranti/,0,-4,4,5,"Нет данных",4,5,5,5,10,9,9,"Нет данных",6,5,12,9,7,8
"дезодорант для чоловіків",https://avrora.ua/dezodoranti-ta-antiperspiranti-dlya-cholovikiv/,90,6,9,8,"Нет данных",8,8,8,9,9,8,9,"Нет данных",6,9,9,8,8,3
"антиперспірант для чоловіків",https://avrora.ua/dezodoranti-ta-antiperspiranti-dlya-cholovikiv/,30,7,10,8,"Нет данных",8,10,9,8,8,8,9,"Нет данных",6,7,6,6,6,3
"купити дезодорант для чоловіків",https://avrora.ua/dezodoranti-ta-antiperspiranti-dlya-cholovikiv/,0,5,8,7,"Нет данных",8,8,8,8,7,9,8,"Нет данных",6,7,8,10,8,3
"купити антиперспірант для чоловіків",https://avrora.ua/dezodoranti-ta-antiperspiranti-dlya-cholovikiv/,0,4,8,6,"Нет данных",7,8,9,7,6,6,6,"Нет данных",6,6,6,6,7,4
"дезодорант для чоловіків ціна",https://avrora.ua/dezodoranti-ta-antiperspiranti-dlya-cholovikiv/,0,2,6,8,"Нет данных",8,8,8,10,7,8,7,"Нет данных",7,8,9,11,8,4
"антиперспірант для чоловіків ціна",https://avrora.ua/dezodoranti-ta-antiperspiranti-dlya-cholovikiv/,0,1,6,9,"Нет данных",6,5,6,6,5,5,4,"Нет данных",5,7,8,5,6,5
"косметика по догляду за обличчям",https://avrora.ua/doglyad-za-oblichchyam/,30,-4,10,9,"Нет данных",13,15,20,14,12,-,14,"Нет данных",16,11,16,18,21,14
"косметика по догляду за шкірою обличчя",https://avrora.ua/doglyad-za-oblichchyam/,0,-12,9,8,"Нет данных",15,10,17,24,23,10,9,"Нет данных",17,14,18,16,16,21
"купити косметику по догляду за обличчям",https://avrora.ua/doglyad-za-oblichchyam/,0,-9,16,-,"Нет данных",16,20,21,28,13,18,15,"Нет данных",24,19,28,26,26,25
"доглядова косметика для обличчя купити",https://avrora.ua/doglyad-za-oblichchyam/,0,-6,36,34,"Нет данных",47,27,25,45,20,41,22,"Нет данных",22,40,22,21,24,42
"недорога доглядова косметика для обличчя",https://avrora.ua/krasota-i-zdorove/,0,-15,13,8,"Нет данных",10,9,8,13,7,8,7,"Нет данных",6,10,9,9,17,28
"догляд за шкірою обличчя косметика",https://avrora.ua/doglyad-za-oblichchyam/,0,-12,12,8,"Нет данных",-,13,-,22,14,11,16,"Нет данных",18,13,19,18,20,24
"найкраща косметика по догляду за обличчям",https://avrora.ua/doglyad-za-oblichchyam/,0,0,-,57,"Нет данных",26,25,31,25,18,16,18,"Нет данных",81,38,40,38,42,-
"купити косметику для догляду за обличчям",https://avrora.ua/doglyad-za-oblichchyam/,0,-3,19,-,"Нет данных",17,15,20,25,13,14,17,"Нет данных",17,19,19,17,23,22
"догляд за жирною шкірою обличчя",,90,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"засоби для догляду за жирною шкірою обличчя",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"догляд за жирною шкірою обличчя косметика",https://avrora.ua/doglyad-za-oblichchyam/,0,0,-,-,"Нет данных",-,39,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"догляд для жирної шкіри обличчя косметика",https://avrora.ua/doglyad-za-oblichchyam/,0,-78,22,-,"Нет данных",39,29,27,29,31,-,45,"Нет данных",-,41,-,-,-,-
"засоби догляду за сухою шкірою обличчя",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"косметика догляду за комбінованою шкірою обличчя",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"натуральна косметика по догляду за обличчям",https://avrora.ua/krasota-i-zdorove/,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,48,-,-,-,-
"натуральна косметика для догляду за шкірою обличчя",https://avrora.ua/doglyad-za-oblichchyam/,0,0,-,-,"Нет данных",-,46,-,-,-,-,-,"Нет данных",-,-,-,90,-,-
"органічна косметика по догляду за шкірою обличчя",https://avrora.ua/doglyad-za-oblichchyam/,0,0,-,-,"Нет данных",-,-,-,-,92,-,66,"Нет данных",94,73,-,-,81,-
"професійна косметика по догляду за обличчям",,140,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"професійна косметика по догляду за шкірою обличчя",https://avrora.ua/doglyad-za-oblichchyam/,0,-35,65,-,"Нет данных",-,-,77,84,95,76,59,"Нет данных",80,61,55,50,84,-
"професійна косметика по догляду за обличчям купити",https://avrora.ua/doglyad-za-oblichchyam/,0,-30,70,-,"Нет данных",-,77,75,-,74,74,85,"Нет данных",83,62,45,60,73,-
"корейська косметика",https://avrora.ua/krasota-i-zdorove/,9900,41,-,-,"Нет данных",-,73,-,75,56,60,54,"Нет данных",41,59,48,45,61,59
"магазин корейської косметики",,390,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"корейська косметика інтернет магазин",https://avrora.ua/krasota-i-zdorove/,140,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",55,81,68,92,-,-
"корейська косметика купити",https://avrora.ua/krasota-i-zdorove/,90,-60,5,-,"Нет данных",-,67,63,70,59,61,64,"Нет данных",53,62,55,62,60,65
"корейська косметика для обличчя",https://avrora.ua/krasota-i-zdorove/,10,33,-,69,"Нет данных",-,74,-,76,70,78,76,"Нет данных",53,73,51,60,73,67
"корейська косметика ціни",https://avrora.ua/krasota-i-zdorove/,0,40,-,-,"Нет данных",70,72,65,69,67,-,71,"Нет данных",67,59,54,57,-,60
"корейська косметика каталог",https://avrora.ua/krasota-i-zdorove/,0,33,-,-,"Нет данных",-,65,-,92,60,66,70,"Нет данных",49,-,60,44,55,67
"корейська косметика купити магазин",https://avrora.ua/krasota-i-zdorove/,0,17,-,-,"Нет данных",79,-,-,92,73,76,76,"Нет данных",67,81,58,71,66,83
"де купити корейську косметику",,10,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маски для шкіри обличчя",https://avrora.ua/maski-dlya-oblichchya/,10,68,-,43,"Нет данных",25,21,24,20,31,33,36,"Нет данных",36,33,91,28,34,32
"маски для шкіри обличчя купити",https://avrora.ua/maski-dlya-oblichchya/,0,-13,21,36,"Нет данных",15,16,16,16,13,17,17,"Нет данных",18,17,31,30,61,34
"маска для обличчя ціна",https://avrora.ua/maski-dlya-oblichchya/,0,-32,25,13,"Нет данных",-,15,18,14,14,15,14,"Нет данных",14,16,16,15,33,57
"недорогі маски для обличчя",https://avrora.ua/maski-dlya-oblichchya/,0,0,14,12,"Нет данных",8,10,7,8,10,8,9,"Нет данных",9,10,11,12,15,14
"недорогі маски для обличчя купити",https://avrora.ua/maski-dlya-oblichchya/,0,-1,9,8,"Нет данных",8,9,9,12,13,10,11,"Нет данных",12,9,13,14,11,10
"дешеві маски для обличчя",https://avrora.ua/maski-dlya-oblichchya/,10,-11,4,10,"Нет данных",8,9,12,10,9,10,10,"Нет данных",12,12,12,14,14,15
"маски для обличчя дешево купити",https://avrora.ua/maski-dlya-oblichchya/,0,86,-,12,"Нет данных",12,13,14,16,12,12,12,"Нет данных",12,13,13,15,20,14
"holika holika маска",,30,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маски холіка холіка",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска для обличчя holika holika",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"тканинні маски holika holika",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска для обличчя холіка холіка",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"тканинна маска для обличчя holika holika",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"holika holika маски купити",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"тканинні маски від холіка",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска холіка холіка купити",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"корейські маски holika holika",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска elizavecca",,50,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска для обличчя elizavecca",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска елізавекка",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"elizavecca тканинні маски",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"тканинні маски елізавекка",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"тканинні маски для обличчя elizavecca",https://avrora.ua/maski-dlya-oblichchya/,0,-31,69,-,"Нет данных",-,50,49,55,-,-,-,"Нет данных",-,-,-,-,-,-
"маска для обличчя елізавекка",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска elizavecca купити",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"корейська маска elizavecca",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"купити маску елізавекка",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"гарньєр маска для обличчя",https://avrora.ua/shampuni/,0,-61,39,-,"Нет данных",42,35,36,33,45,27,29,"Нет данных",32,43,-,53,-,-
"маски гарньєр для обличчя тканинна",https://avrora.ua/maska-dlya-zvolozhennya-obichchya-tkaninna-garnier-skin-naturals-akva-bomba-28-g/,0,-54,46,-,"Нет данных",46,45,-,46,-,53,32,"Нет данных",32,-,-,-,-,-
"garnier маска для обличчя",https://avrora.ua/shampuni/,30,0,-,-,"Нет данных",47,37,47,38,37,38,36,"Нет данных",40,42,42,53,-,-
"garnier маска для обличчя тканинна",https://avrora.ua/maska-dlya-oblichchya-tkaninna-food-a-holic-z-ekstraktom-ogirka-23-ml/,0,-57,43,43,"Нет данных",-,37,39,46,37,36,24,"Нет данных",31,-,-,-,49,-
"маски гарньєр для обличчя ціна",https://avrora.ua/maska-dlya-oblichchya-kosmetichna-ziaja-yagodi-asai-7-ml/,0,-7,39,42,"Нет данных",43,18,17,19,-,20,15,"Нет данных",38,40,-,39,40,46
"купити маску для обличчя гарньєр",https://avrora.ua/maska-dlya-suhogo-volossya-fructis-hair-food-banan-400-ml/,0,59,-,35,"Нет данных",35,17,40,35,-,15,35,"Нет данных",32,44,34,40,37,41
"маски гарньєр для обличчя тканинна купити",https://avrora.ua/maska-dlya-zvolozhennya-obichchya-tkaninna-garnier-skin-naturals-akva-bomba-28-g/,0,-51,49,-,"Нет данных",44,30,-,38,32,38,38,"Нет данных",32,-,-,-,-,-
"маски garnier для обличчя купити",https://avrora.ua/maska-dlya-suhogo-volossya-fructis-hair-food-banan-400-ml/,0,-1,40,38,"Нет данных",35,33,33,36,14,17,29,"Нет данных",16,37,35,39,34,41
"маска bioaqua",,170,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"bioaqua маска для обличчя",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"бульбашкова маска bioaqua",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"тканинні маски bioaqua",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска bioaqua для шкіри",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска для обличчя біоаква",,10,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"тканинні маски біоаква",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"тканинна маска для обличчя bioaqua",,10,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маски bioaqua купити",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"bioaqua маска ціна",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска корейська bioaqua",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"тканинні маски для обличчя біоаква",https://avrora.ua/maski-dlya-oblichchya/,0,0,-,-,"Нет данных",-,-,56,-,-,-,-,"Нет данных",-,-,-,-,-,-
"корейські маски біоаква",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"зволожуюча маска для обличчя",https://avrora.ua/maski-dlya-oblichchya/,390,9,41,60,"Нет данных",28,30,33,30,44,24,25,"Нет данных",33,37,65,62,66,32
"зволожуючі маски для шкіри обличчя",https://avrora.ua/maski-dlya-oblichchya/,0,24,-,-,"Нет данных",-,46,-,40,-,-,-,"Нет данных",-,-,-,-,-,76
"зволожуюча маска для обличчя купити",https://avrora.ua/maski-dlya-oblichchya/,10,-14,60,62,"Нет данных",40,30,42,19,41,28,24,"Нет данных",20,31,73,68,58,74
"заспокійлива маска для обличчя",https://avrora.ua/maski-dlya-oblichchya/,110,0,-,-,"Нет данных",-,-,-,-,80,74,85,"Нет данных",90,-,-,-,-,-
"маски заспокійливі для шкіри обличчя",https://avrora.ua/doglyad-za-oblichchyam/,0,-28,72,-,"Нет данных",-,-,-,-,-,89,-,"Нет данных",-,-,-,-,-,-
"заспокійлива маска для обличчя купити",https://avrora.ua/maski-dlya-oblichchya/,0,20,-,-,"Нет данных",-,-,-,-,26,27,26,"Нет данных",29,32,79,89,85,80
"живильні маски для обличчя",,20,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"відновлююча маска для обличчя",https://avrora.ua/maska-dlya-oblichchya-normalizuyucha-vidnovlyuyucha-sane-ekstrakt-chornici-vitamini-a-e-75-ml/,40,0,-,-,"Нет данных",-,-,-,-,49,-,-,"Нет данных",-,-,-,-,-,-
"маски відновлюючі шкіру обличчя",https://avrora.ua/krasota-i-zdorove/,0,0,-,-,"Нет данных",-,-,-,-,96,-,-,"Нет данных",-,-,-,-,-,-
"купити маску відновлюючу для обличчя",https://avrora.ua/maski-dlya-oblichchya/,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,80,-,-,-
"тонізуюча маска для обличчя",,10,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маски тонізуючі шкіру обличчя",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"очищувальна маска для обличчя",https://avrora.ua/maski-dlya-oblichchya/,40,23,47,27,"Нет данных",-,23,23,31,23,30,22,"Нет данных",22,25,58,38,69,24
"маски очищувальні шкіру обличчя",https://avrora.ua/maski-dlya-oblichchya/,0,-7,47,76,"Нет данных",54,45,25,63,57,54,67,"Нет данных",58,70,51,63,61,54
"очищувальна маска для обличчя купити",https://avrora.ua/maski-dlya-oblichchya/,0,16,33,-,"Нет данных",-,15,14,15,14,14,-,"Нет данных",14,27,22,24,18,17
"денна маска для обличчя",https://avrora.ua/maski-dlya-oblichchya/,0,14,-,-,"Нет данных",72,-,-,-,81,34,75,"Нет данных",59,67,46,73,81,86
"нічна маска для обличчя",,480,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"нічна маска для обличчя купити",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"універсальні маски для обличчя",https://avrora.ua/maski-dlya-oblichchya/,0,69,-,-,"Нет данных",-,-,50,-,-,-,-,"Нет данных",-,-,-,-,-,31
"маски для сухої шкіри обличчя",https://avrora.ua/shampuni/,70,0,-,-,"Нет данных",-,-,38,-,-,-,-,"Нет данных",-,42,-,84,-,-
"маски для дуже сухої шкіри обличчя",https://avrora.ua/doglyad-za-oblichchyam/,10,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,44,-,-,-,-
"маски для жирної шкіри обличчя",https://avrora.ua/doglyad-za-oblichchyam/,40,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,49,-,-,-,-
"маска проти жирної шкіри обличчя",https://avrora.ua/doglyad-za-oblichchyam/,0,0,-,-,"Нет данных",-,69,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"маска для обличчя нормальна шкіра",https://avrora.ua/maski-dlya-oblichchya/,0,56,-,-,"Нет данных",-,40,-,-,-,-,-,"Нет данных",-,-,-,-,-,44
"маски для обличчя всіх типів шкіри",https://avrora.ua/maski-dlya-oblichchya/,0,-81,19,27,"Нет данных",40,27,26,-,22,32,23,"Нет данных",26,40,44,45,-,-
"корейські маски для обличчя",https://avrora.ua/krasota-i-zdorove/,390,8,73,67,"Нет данных",-,-,61,65,61,63,64,"Нет данных",65,59,64,60,70,65
"корейські маски для обличчя тканинні",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"корейські маски купити",https://avrora.ua/maski-dlya-oblichchya/,0,7,-,-,"Нет данных",-,73,54,77,67,65,69,"Нет данных",62,79,47,53,60,93
"корейські маски для обличчя купити",https://avrora.ua/maski-dlya-oblichchya/,10,10,-,-,"Нет данных",-,-,74,82,67,78,68,"Нет данных",67,73,55,58,64,90
"корейська косметика маски для обличчя",https://avrora.ua/krasota-i-zdorove/,0,25,-,-,"Нет данных",-,-,77,-,92,72,72,"Нет данных",73,64,62,83,73,75
"корейські тканинні маски купити",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"корейські маски для обличчя ціна",https://avrora.ua/maski-dlya-oblichchya/,0,57,95,88,"Нет данных",-,70,63,47,69,70,76,"Нет данных",65,60,41,66,48,38
"магазин корейських масок для обличчя",https://avrora.ua/maski-dlya-oblichchya/,0,0,-,-,"Нет данных",-,60,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"корейські маски для обличчя купити недорого",https://avrora.ua/krasota-i-zdorove/,0,38,78,-,"Нет данных",44,34,-,39,86,-,84,"Нет данных",35,80,47,49,36,40
"косметичний засіб для губ",https://avrora.ua/zasobi-dlya-gub/,0,-2,4,4,"Нет данных",4,4,4,4,4,5,6,"Нет данных",4,5,8,9,10,6
"косметика по догляду за губами",https://avrora.ua/zasobi-dlya-gub/,0,-20,28,11,"Нет данных",15,34,14,14,31,28,33,"Нет данных",14,18,28,30,26,48
"лікувальна косметика для губ",https://avrora.ua/zasobi-dlya-gub/,0,-18,25,22,"Нет данных",20,28,33,26,38,38,38,"Нет данных",39,38,32,28,49,43
"догляд за губами косметика",https://avrora.ua/zasobi-dlya-gub/,0,-9,9,-,"Нет данных",16,21,14,10,12,15,12,"Нет данных",9,11,15,16,21,18
"сироватка для губ",https://avrora.ua/krasota-i-zdorove/,40,0,-,50,"Нет данных",-,32,33,34,-,32,30,"Нет данных",-,46,38,57,-,-
"сироватки для догляду за губами",https://avrora.ua/zasobi-dlya-gub/,0,54,-,36,"Нет данных",-,50,47,70,68,44,41,"Нет данных",64,41,37,73,-,46
"сироватка для губ купити",https://avrora.ua/sirovatka-buster-dlya-gub-lovit/,0,69,-,41,"Нет данных",37,34,33,40,36,18,18,"Нет данных",21,20,21,22,24,31
"бальзам для губ",https://avrora.ua/balzami-dlya-gub/,9900,4,34,27,"Нет данных",26,30,36,17,36,45,46,"Нет данных",23,16,16,46,35,30
"бальзам для губ купити",https://avrora.ua/balzami-dlya-gub/,50,13,37,37,"Нет данных",13,20,13,10,17,16,14,"Нет данных",11,11,23,22,26,24
"бальзам для губ ціна",https://avrora.ua/balzami-dlya-gub/,10,0,11,8,"Нет данных",13,11,10,10,8,9,10,"Нет данных",10,13,11,11,16,11
"косметика бальзами губ",https://avrora.ua/zasobi-dlya-gub/,0,-3,16,14,"Нет данных",16,18,15,19,13,20,14,"Нет данных",14,15,23,32,40,19
"недорогі бальзами для губ",https://avrora.ua/balzami-dlya-gub/,0,-1,3,1,"Нет данных",2,3,3,3,3,3,4,"Нет данных",3,4,5,7,6,4
"бальзами для губ купити недорого",https://avrora.ua/balzami-dlya-gub/,0,5,15,14,"Нет данных",14,10,10,10,10,14,10,"Нет данных",8,11,12,13,19,10
"дешеві бальзами для губ",https://avrora.ua/balzami-dlya-gub/,0,-2,5,8,"Нет данных",8,9,9,8,8,7,7,"Нет данных",8,10,9,12,11,7
"замовити бальзам для губ",https://avrora.ua/balzami-dlya-gub/,0,19,49,46,"Нет данных",-,32,31,32,21,30,29,"Нет данных",19,37,30,30,35,30
"гель для губ",https://avrora.ua/zasobi-dlya-gub/,140,-9,8,10,"Нет данных",10,7,9,10,8,7,-,"Нет данных",7,5,7,8,27,17
"купити гель для губ",https://avrora.ua/zasobi-dlya-gub/,0,2,10,11,"Нет данных",10,9,6,8,6,5,9,"Нет данных",7,10,8,4,10,8
"крем для губ",https://avrora.ua/zasobi-dlya-gub/,320,3,18,25,"Нет данных",16,32,20,17,25,35,16,"Нет данных",17,17,18,18,19,15
"креми для губ ціна",https://avrora.ua/zasobi-dlya-gub/,0,-10,12,21,"Нет данных",24,26,11,11,21,7,22,"Нет данных",20,20,21,24,27,22
"крем для губ купити",https://avrora.ua/zasobi-dlya-gub/,0,92,-,-,"Нет данных",11,10,11,8,9,9,-,"Нет данных",9,10,10,8,16,8
"засіб для очищення обличчя купити",https://avrora.ua/zasobi-dlya-ochischennya-oblichchya/,0,-50,35,34,"Нет данных",29,28,35,27,24,33,32,"Нет данных",18,40,35,30,31,85
"засіб для щоденного очищення обличчя",https://avrora.ua/zasobi-dlya-ochischennya-oblichchya/,0,0,-,-,"Нет данных",-,-,-,-,-,-,89,"Нет данных",-,-,-,-,80,-
"засоби для очищення шкіри обличчя купити",https://avrora.ua/zasobi-dlya-ochischennya-oblichchya/,0,-18,17,19,"Нет данных",20,17,24,26,18,20,19,"Нет данных",20,21,28,36,35,35
"косметичні засоби для очищення обличчя",https://avrora.ua/doglyad-za-oblichchyam/,0,-2,22,19,"Нет данных",17,18,22,22,15,19,19,"Нет данных",21,25,25,24,41,24
"засіб для очищення обличчя недорого",https://avrora.ua/zasobi-dlya-ochischennya-oblichchya/,0,0,7,8,"Нет данных",7,6,6,7,5,8,8,"Нет данных",9,6,7,6,9,7
"косметика для очищення обличчя",https://avrora.ua/zasobi-dlya-ochischennya-oblichchya/,0,23,69,-,"Нет данных",70,47,51,51,48,57,49,"Нет данных",73,46,53,90,73,46
"косметика для очищення шкіри обличчя",https://avrora.ua/zasobi-dlya-ochischennya-oblichchya/,0,33,67,50,"Нет данных",53,39,40,38,38,36,37,"Нет данных",28,36,44,40,39,34
"очищення сухої шкіри обличчя засоби",https://avrora.ua/zasobi-dlya-ochischennya-oblichchya/,0,-67,33,32,"Нет данных",24,42,33,31,28,28,31,"Нет данных",30,36,54,72,91,-
"очищення жирної шкіри обличчя засоби",https://avrora.ua/zasobi-dlya-ochischennya-oblichchya/,0,0,-,66,"Нет данных",66,-,-,57,-,77,93,"Нет данных",73,91,88,-,-,-
"засоби для очищення проблемної шкіри обличчя",https://avrora.ua/zasobi-dlya-ochischennya-oblichchya/,0,0,-,43,"Нет данных",-,33,34,38,91,37,63,"Нет данных",56,43,69,55,84,-
"засіб для зняття макіяжу",https://avrora.ua/krasota-i-zdorove/,320,0,-,-,"Нет данных",-,-,-,-,84,-,-,"Нет данных",88,-,-,-,-,-
"засіб для зняття макіяжу з очей",https://avrora.ua/dekorativnaya-kosmetika/,260,0,-,-,"Нет данных",-,-,59,-,-,63,-,"Нет данных",52,69,-,-,-,-
"купити засіб для зняття макіяжу",https://avrora.ua/krasota-i-zdorove/,0,0,-,-,"Нет данных",40,45,42,49,45,43,49,"Нет данных",51,52,-,39,-,-
"засоби для зняття макіяжу ціни",https://avrora.ua/krasota-i-zdorove/,0,19,77,63,"Нет данных",77,53,52,59,43,40,39,"Нет данных",42,47,48,50,56,58
"засіб для зняття макіяжу з обличчя",https://avrora.ua/krasota-i-zdorove/,0,0,-,-,"Нет данных",-,-,-,-,83,75,89,"Нет данных",77,-,-,70,64,-
"недорогі засоби для зняття макіяжу",https://avrora.ua/zasobi-dlya-ochischennya-oblichchya/,0,0,-,-,"Нет данных",33,38,-,50,32,38,77,"Нет данных",92,33,37,44,65,-
"міцелярна вода інтернет магазин",https://avrora.ua/voda-micelyarna/,0,22,53,51,"Нет данных",21,39,35,95,65,-,-,"Нет данных",67,93,71,-,38,31
"молочко для обличчя",https://avrora.ua/molochko-ochischuyuche-cleanness-240-ml/,260,-47,34,37,"Нет данных",60,44,-,51,73,76,85,"Нет данных",80,52,63,62,-,81
"очищувальне молочко для обличчя",https://avrora.ua/molochko-dlya-oblichchya-ochischuvalne-cleanness-skinbiome-260-ml/,10,-85,15,14,"Нет данных",23,14,13,16,-,-,-,"Нет данных",-,-,-,-,-,-
"молочко для шкіри обличчя",https://avrora.ua/krasota-i-zdorove/,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",58,67,-,76,-,-
"купити молочко для обличчя",https://avrora.ua/molochko-ochischuyuche-cleanness-240-ml/,0,0,-,-,"Нет данных",-,45,48,78,28,46,-,"Нет данных",79,51,24,49,39,-
"косметичне молочко для обличчя",https://avrora.ua/krasota-i-zdorove/,10,25,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,75
"молочко для обличчя та очей",https://avrora.ua/doglyad-za-oblichchyam/,0,0,-,-,"Нет данных",-,-,-,-,-,85,-,"Нет данных",93,53,-,-,-,-
"молочко для обличчя ціна",https://avrora.ua/krasota-i-zdorove/,0,0,-,-,"Нет данных",-,76,54,72,69,75,77,"Нет данных",54,46,73,66,66,-
"очищувальне молочко для обличчя купити",https://avrora.ua/molochko-ochischuyuche-cleanness-240-ml/,0,-86,14,13,"Нет данных",16,18,17,22,77,-,80,"Нет данных",93,-,-,-,-,-
"гель для очищення обличчя",https://avrora.ua/gel-dlya-ochischennya-shkiri-oblichchya-re.care-skin-and-pore-200-ml/,140,25,47,31,"Нет данных",43,31,26,44,29,25,22,"Нет данных",26,24,61,41,51,22
"гель для очищення шкіри обличчя",https://avrora.ua/gel-dlya-ochischennya-shkiri-oblichchya-re.care-skin-and-pore-200-ml/,10,20,43,-,"Нет данных",45,22,27,28,26,8,13,"Нет данных",29,25,46,36,37,23
"гель для вмивання",https://avrora.ua/geli-dlya-oblichchya/,4400,-28,16,18,"Нет данных",17,17,20,20,19,18,17,"Нет данных",20,36,38,41,43,44
"гель очищувальний для вмивання",https://avrora.ua/geli-dlya-oblichchya/,0,5,-,-,"Нет данных",-,-,-,-,-,60,78,"Нет данных",-,84,53,67,68,95
